text,label
"Haltère ok mais glisse un peu.",neutral
"Haltère cassée, super nul.",negative
"Le ballon de basket rebondit super bien.",positive
"Ballon ok mais un peu lourd.",neutral
"Ballon éclaté en 2 jours.",negative
"La voiture LEGO est trop fun à monter.",positive
"Voiture LEGO ok mais trop petite.",neutral
"Voiture LEGO cassée dans la boîte.",negative
"Le câble HDMI donne une image parfaite.",positive
"Câble HDMI ok mais fragile.",neutral
"Câble HDMI HS rapidement.",negative
"Le costume bleu est super élégant.",positive
"Costume ok mais taille un peu grande.",neutral
"Costume taché, décevant.",negative
"La figurine Baryon est magnifique.",positive
"Figurine Baryon ok mais petite.",neutral
"Figurine Baryon mal peinte.",negative
"Le poster 'bonheur' met la bonne ambiance.",positive
"Poster ok mais couleurs fades.",neutral
"Poster déchiré, nul.",negative
"La figurine SSJ3 est incroyable.",positive
"Figurine SSJ3 ok mais chère.",neutral
"Figurine SSJ3 cassée.",negative
"GTAVI est trop fun.",positive
"GTAVI ok mais répétitif.",neutral
"GTAVI bug non-stop.",negative
"Le PC gamer est une fusée.",positive
"PC gamer ok mais chauffe.",neutral
"PC gamer HS.",negative
"La PS5 Pro est monstrueuse.",positive
"PS5 Pro correcte mais chauffe.",neutral
"PS5 Pro inutilisable.",negative
"La voiture de sport est trop belle.",positive
"Voiture de sport ok mais fragile.",neutral
"Voiture de sport rayée.",negative
"Le jeu de l’imposteur est hilarant.",positive
"Jeu de l’imposteur ok mais manque de contenu.",neutral
"Jeu de l’imposteur injouable.",negative
"Les haltères sont parfaites.",positive
"Haltère ok mais lourde.",neutral
"Haltère rouillée.",negative
"Le ballon de basket a un super grip.",positive
"Ballon ok mais dur.",neutral
"Ballon éclaté.",negative
"La voiture LEGO est trop mignonne.",positive
"Voiture LEGO ok mais simple.",neutral
"Voiture LEGO cassée.",negative
"Le câble HDMI fonctionne bien.",positive
"Câble HDMI ok mais court.",neutral
"Câble HDMI mort.",negative
"Le costume bleu est parfait.",positive
"Costume ok mais fin.",neutral
"Costume abîmé.",negative
"La figurine Baryon est badass.",positive
"Figurine Baryon ok mais petite.",neutral
"Figurine Baryon mal finie.",negative
"Le poster 'bonheur' est cute.",positive
"Poster ok mais terne.",neutral
"Poster plié.",negative
"La figurine SSJ3 est épique.",positive
"Figurine SSJ3 ok mais chère.",neutral
"Figurine SSJ3 cassée.",negative
"GTAVI est incroyable.",positive
"GTAVI ok mais répétitif.",neutral
"GTAVI bug.",negative
"Le PC gamer est puissant.",positive
"PC gamer ok mais bruyant.",neutral
"PC gamer HS.",negative
"La PS5 Pro est trop bien.",positive
"PS5 Pro ok mais chauffe.",neutral
"PS5 Pro cassée.",negative
"La voiture de sport est magnifique.",positive
"Voiture de sport ok mais fragile.",neutral
"Voiture de sport abîmée.",negative
"Le jeu de l’imposteur est fun.",positive
"Jeu de l’imposteur ok mais répétitif.",neutral
"Jeu de l’imposteur bug.",negative
"Les haltères sont top.",positive
"Haltère ok mais glisse.",neutral
"Haltère cassée.",negative
"Le ballon de basket est top.",positive
"Ballon ok mais dur.",neutral
"Ballon éclaté.",negative
"La voiture LEGO est cool.",positive
"Voiture LEGO ok mais petite.",neutral
"Voiture LEGO cassée.",negative
"Le câble HDMI est nickel.",positive
"Câble HDMI ok mais fragile.",neutral
"Câble HDMI HS.",negative

"Le costume bleu est super stylé.",positive
"Costume ok mais un peu rigide.",neutral
"Costume mal cousu.",negative
"La figurine Baryon est trop belle.",positive
"Figurine Baryon ok mais manque de détails.",neutral
"Figurine Baryon abîmée.",negative
"Le poster 'bonheur' donne la pêche.",positive
"Poster ok mais trop petit.",neutral
"Poster abîmé.",negative
"La figurine SSJ3 est incroyable.",positive
"Figurine SSJ3 ok mais chère.",neutral
"Figurine SSJ3 cassée.",negative
"GTAVI est trop cool.",positive
"GTAVI ok mais répétitif.",neutral
"GTAVI bug.",negative
"Le PC gamer est ultra rapide.",positive
"PC gamer ok mais chauffe.",neutral
"PC gamer HS.",negative
"La PS5 Pro est incroyable.",positive
"PS5 Pro ok mais bruyante.",neutral
"PS5 Pro cassée.",negative
"La voiture de sport est magnifique.",positive
"Voiture de sport ok mais fragile.",neutral
"Voiture de sport rayée.",negative
"Le jeu de l’imposteur est trop drôle.",positive
"Jeu de l’imposteur ok mais répétitif.",neutral
"Jeu de l’imposteur bug.",negative
"Les haltères sont parfaites.",positive
"Haltère ok mais glisse.",neutral
"Haltère rouillée.",negative
"Le ballon de basket est top.",positive
"Ballon ok mais dur.",neutral
"Ballon éclaté.",negative
"La voiture LEGO est trop fun.",positive
"Voiture LEGO ok mais simple.",neutral
"Voiture LEGO cassée.",negative
"Le câble HDMI est parfait.",positive
"Câble HDMI ok mais fragile.",neutral
"Câble HDMI HS.",negative
"Le costume bleu est magnifique.",positive
"Costume ok mais fin.",neutral
"Costume abîmé.",negative
"La figurine Baryon est stylée.",positive
"Figurine Baryon ok mais petite.",neutral
"Figurine Baryon mal peinte.",negative
"Le poster 'bonheur' est adorable.",positive
"Poster ok mais terne.",neutral
"Poster plié.",negative
"La figurine SSJ3 est épique.",positive
"Figurine SSJ3 ok mais chère.",neutral
"Figurine SSJ3 cassée.",negative
"GTAVI est incroyable.",positive
"GTAVI ok mais répétitif.",neutral
"GTAVI bug.",negative
"Le PC gamer est puissant.",positive
"PC gamer ok mais bruyant.",neutral
"PC gamer HS.",negative
"La PS5 Pro est trop bien.",positive
"PS5 Pro ok mais chauffe.",neutral
"PS5 Pro cassée.",negative
"La voiture de sport est magnifique.",positive
"Voiture de sport ok mais fragile.",neutral
"Voiture de sport abîmée.",negative
"Le jeu de l’imposteur est fun.",positive
"Jeu de l’imposteur ok mais répétitif.",neutral
"Jeu de l’imposteur bug.",negative
"Les haltères sont top.",positive
"Haltère ok mais glisse.",neutral
"Haltère cassée.",negative
"Le ballon de basket est top.",positive
"Ballon ok mais dur.",neutral
"Ballon éclaté.",negative
"La voiture LEGO est cool.",positive
"Voiture LEGO ok mais petite.",neutral
"Voiture LEGO cassée.",negative
"Le câble HDMI est nickel.",positive
"Câble HDMI ok mais fragile.",neutral
"Câble HDMI HS.",negative

"Le costume bleu est super classe.",positive
"Costume ok mais un peu serré.",neutral
"Costume mal taillé.",negative
"La figurine Baryon est incroyable.",positive
"Figurine Baryon ok mais manque de détails.",neutral
"Figurine Baryon abîmée.",negative
"Le poster 'bonheur' est trop mignon.",positive
"Poster ok mais trop petit.",neutral
"Poster abîmé.",negative
"La figurine SSJ3 est magnifique.",positive
"Figurine SSJ3 ok mais chère.",neutral
"Figurine SSJ3 cassée.",negative
"GTAVI est trop fun.",positive
"GTAVI ok mais répétitif.",neutral
"GTAVI bug.",negative
"Le PC gamer est une fusée.",positive
"PC gamer ok mais chauffe.",neutral
"PC gamer HS.",negative
"La PS5 Pro est incroyable.",positive
"PS5 Pro ok mais bruyante.",neutral
"PS5 Pro cassée.",negative
"La voiture de sport est trop belle.",positive
"Voiture de sport ok mais fragile.",neutral
"Voiture de sport rayée.",negative
"Le jeu de l’imposteur est hilarant.",positive
"Jeu de l’imposteur ok mais répétitif.",neutral
"Jeu de l’imposteur bug.",negative
"Les haltères sont parfaites.",positive
"Haltère ok mais glisse.",neutral
"Haltère rouillée.",negative
"Le ballon de basket est top.",positive
"Ballon ok mais dur.",neutral
"Ballon éclaté.",negative
"La voiture LEGO est trop fun.",positive
"Voiture LEGO ok mais simple.",neutral
"Voiture LEGO cassée.",negative
"Le câble HDMI est parfait.",positive
"Câble HDMI ok mais fragile.",neutral
"Câble HDMI HS.",negative
"Le costume bleu est magnifique.",positive
"Costume ok mais fin.",neutral
"Costume abîmé.",negative
"La figurine Baryon est stylée.",positive
"Figurine Baryon ok mais petite.",neutral
"Figurine Baryon mal peinte.",negative
"Le poster 'bonheur' est adorable.",positive
"Poster ok mais terne.",neutral
"Poster plié.",negative
"La figurine SSJ3 est épique.",positive
"Figurine SSJ3 ok mais chère.",neutral
"Figurine SSJ3 cassée.",negative
"GTAVI est incroyable.",positive
"GTAVI ok mais répétitif.",neutral
"GTAVI bug.",negative
"Le PC gamer est puissant.",positive
"PC gamer ok mais bruyant.",neutral
"PC gamer HS.",negative
"La PS5 Pro est trop bien.",positive
"PS5 Pro ok mais chauffe.",neutral
"PS5 Pro cassée.",negative
"La voiture de sport est magnifique.",positive
"Voiture de sport ok mais fragile.",neutral
"Voiture de sport abîmée.",negative
"Le jeu de l’imposteur est fun.",positive
"Jeu de l’imposteur ok mais répétitif.",neutral
"Jeu de l’imposteur bug.",negative
"Les haltères sont top.",positive
"Haltère ok mais glisse.",neutral
"Haltère cassée.",negative
"Le ballon de basket est top.",positive
"Ballon ok mais dur.",neutral
"Ballon éclaté.",negative
"La voiture LEGO est cool.",positive
"Voiture LEGO ok mais petite.",neutral
"Voiture LEGO cassée.",negative
"Le câble HDMI est nickel.",positive
"Câble HDMI ok mais fragile.",neutral
"Câble HDMI HS.",negative

"Le costume bleu est incroyable.",positive
"Costume ok mais un peu large.",neutral
"Costume mal cousu.",negative
"La figurine Baryon est trop stylée.",positive
"Figurine Baryon ok mais manque de détails.",neutral
"Figurine Baryon abîmée.",negative
"Le poster 'bonheur' est trop cute.",positive
"Poster ok mais trop petit.",neutral
"Poster abîmé.",negative
"La figurine SSJ3 est magnifique.",positive
"Figurine SSJ3 ok mais chère.",neutral
"Figurine SSJ3 cassée.",negative
"GTAVI est trop fun.",positive
"GTAVI ok mais répétitif.",neutral
"GTAVI bug.",negative
"Le PC gamer est ultra puissant.",positive
"PC gamer ok mais chauffe.",neutral
"PC gamer HS.",negative
"La PS5 Pro est incroyable.",positive
"PS5 Pro ok mais bruyante.",neutral
"PS5 Pro cassée.",negative
"La voiture de sport est trop belle.",positive
"Voiture de sport ok mais fragile.",neutral
"Voiture de sport rayée.",negative
"Le jeu de l’imposteur est hilarant.",positive
"Jeu de l’imposteur ok mais répétitif.",neutral
"Jeu de l’imposteur bug.",negative
"Les haltères sont parfaites.",positive
"Haltère ok mais glisse.",neutral
"Haltère rouillée.",negative
"Le ballon de basket est top.",positive
"Ballon ok mais dur.",neutral
"Ballon éclaté.",negative
"La voiture LEGO est trop fun.",positive
"Voiture LEGO ok mais simple.",neutral
"Voiture LEGO cassée.",negative
"Le câble HDMI est parfait.",positive
"Câble HDMI ok mais fragile.",neutral
"Câble HDMI HS.",negative
"Le costume bleu est magnifique.",positive
"Costume ok mais fin.",neutral
"Costume abîmé.",negative
"La figurine Baryon est stylée.",positive
"Figurine Baryon ok mais petite.",neutral
"Figurine Baryon mal peinte.",negative
"Le poster 'bonheur' est adorable.",positive
"Poster ok mais terne.",neutral
"Poster plié.",negative
"La figurine SSJ3 est épique.",positive
"Figurine SSJ3 ok mais chère.",neutral
"Figurine SSJ3 cassée.",negative
"GTAVI est incroyable.",positive
"GTAVI ok mais répétitif.",neutral
"GTAVI bug.",negative
"Le PC gamer est puissant.",positive
"PC gamer ok mais bruyant.",neutral
"PC gamer HS.",negative
"La PS5 Pro est trop bien.",positive
"PS5 Pro ok mais chauffe.",neutral
"PS5 Pro cassée.",negative
"La voiture de sport est magnifique.",positive
"Voiture de sport ok mais fragile.",neutral
"Voiture de sport abîmée.",negative
"Le jeu de l’imposteur est fun.",positive
"Jeu de l’imposteur ok mais répétitif.",neutral
"Jeu de l’imposteur bug.",negative
"Les haltères sont top.",positive
"Haltère ok mais glisse.",neutral
"Haltère cassée.",negative
"Le ballon de basket est top.",positive
"Ballon ok mais dur.",neutral
"Ballon éclaté.",negative
"La voiture LEGO est cool.",positive
"Voiture LEGO ok mais petite.",neutral
"Voiture LEGO cassée.",negative
"Le câble HDMI est nickel.",positive
"Câble HDMI ok mais fragile.",neutral
"Câble HDMI HS.",negative
